 Row,DateMidpoint,Filter,Meas_RA,MeasDec,Mag,MagErr,r,Delta,Elong,Phase,SkyVel,SkyPA
 1,2025-06-21T08:11:32.665,z,,,,,4.839,3.830,172.22,1.63,1.021,270.25
 2,2025-06-22T02:32:47.429,g,,,,,4.813,3.803,173.02,1.47,1.037,270.11
 3,2025-06-22T03:07:49.625,r,,,,,4.813,3.802,173.05,1.46,1.038,270.13
 4,2025-06-24T03:07:46.213,i,,,,,4.746,3.733,174.77,1.12,1.079,270.33
 5,2025-06-30T02:25:46.504,i,,,,,4.546,3.536,172.45,1.68,1.199,270.96
 6,2025-06-30T02:26:26.639,i,,,,,4.546,3.536,172.45,1.68,1.199,270.97
 7,2025-07-02T00:44:25.734,i,271.44780021,-18.68489767,18.17,0.011,4.482,3.477,170.12,2.23,1.235,271.16
 8,2025-07-02T01:20:33.931,z,271.43468765,-18.68462292,18.03,0.013,4.481,3.476,170.09,2.24,1.236,271.18
 9,2025-07-02T02:31:16.539,z,,,,,4.479,3.475,170.02,2.25,1.239,271.22
10,2025-07-02T03:33:02.401,i,271.38661792,-18.68351107,18.24,0.010,4.478,3.473,169.97,2.27,1.240,271.26
11,2025-07-03T01:53:12.949,i,270.89965982,-18.67140964,18.13,0.010,4.447,3.445,168.76,2.56,1.257,271.32
12,2025-07-03T03:03:56.766,z,270.87355655,-18.67073595,,0.010,4.445,3.444,168.69,2.57,1.259,271.37
13,2025-07-03T06:25:00.588,r,270.79925893,-18.66879115,18.28,0.010,4.441,3.440,168.50,2.62,1.261,271.51
14,2025-07-03T06:27:17.374,r,270.79843677,-18.6687389,18.29,0.010,4.440,3.440,168.50,2.62,1.261,271.51
15,2025-07-03T06:32:03.644,r,270.79665019,-18.66872252,18.37,0.010,4.440,3.439,168.50,2.62,1.261,271.51
16,2025-07-03T06:36:22.936,r,270.7950661,-18.66867034,18.41,0.010,4.440,3.439,168.49,2.62,1.261,271.51
17,2025-07-03T06:48:53.518,r,270.79044054,-18.66854942,18.37,0.010,4.440,3.439,168.48,2.62,1.260,271.52
18,2025-07-03T06:49:27.817,r,270.79022012,-18.66854323,18.33,0.010,4.440,3.439,168.48,2.62,1.260,271.52
19,2025-07-03T06:50:17.900,r,270.78991584,-18.66854239,18.42,0.010,4.440,3.439,168.48,2.62,1.260,271.52
20,2025-07-03T06:50:52.210,r,270.78970868,-18.66853107,18.44,0.010,4.440,3.439,168.48,2.62,1.260,271.52
21,2025-07-03T06:51:47.398,r,270.78935403,-18.66851411,18.39,0.010,4.440,3.439,168.48,2.62,1.260,271.52
22,2025-07-03T06:52:21.699,r,270.78914766,-18.66851621,18.45,0.010,4.440,3.439,168.48,2.62,1.260,271.52
23,2025-07-03T06:53:16.948,r,270.78879974,-18.66850929,18.43,0.010,4.440,3.439,168.48,2.62,1.260,271.52
24,2025-07-03T06:53:51.225,r,270.78859561,-18.66849454,18.45,0.010,4.440,3.439,168.48,2.62,1.260,271.52
25,2025-07-03T06:54:40.905,r,270.78828964,-18.66847775,18.43,0.010,4.440,3.439,168.48,2.62,1.260,271.52
26,2025-07-03T06:55:15.188,r,270.78808866,-18.66847692,18.45,0.010,4.440,3.439,168.47,2.62,1.260,271.52
27,2025-07-03T06:58:56.345,r,270.78671566,-18.66846525,18.41,0.010,4.440,3.439,168.47,2.62,1.260,271.53
28,2025-07-03T06:59:30.625,r,270.7865084,-18.66842505,18.38,0.010,4.440,3.439,168.47,2.62,1.260,271.53
29,2025-07-03T07:00:20.326,r,270.78620235,-18.66843063,18.37,0.010,4.440,3.439,168.47,2.62,1.260,271.53
30,2025-07-03T07:00:54.818,r,270.78599054,-18.66842558,18.41,0.010,4.440,3.439,168.47,2.62,1.260,271.53
31,2025-07-03T07:01:46.238,r,270.78567121,-18.66842246,18.42,0.010,4.440,3.439,168.47,2.62,1.260,271.53
32,2025-07-03T07:02:20.680,r,270.78546068,-18.66841908,18.44,0.010,4.440,3.439,168.47,2.62,1.260,271.53
33,2025-07-03T07:07:48.633,r,270.78344117,-18.66838093,18.4,0.010,4.440,3.439,168.46,2.63,1.260,271.53
34,2025-07-03T07:08:22.937,r,270.78322561,-18.66835954,18.37,0.010,4.440,3.439,168.46,2.63,1.260,271.53
35,2025-07-03T07:09:07.240,r,270.78295107,-18.66835181,18.39,0.010,4.439,3.439,168.46,2.63,1.260,271.53
36,2025-07-03T07:09:41.513,r,270.78273404,-18.66834361,18.36,0.010,4.439,3.439,168.46,2.63,1.260,271.53
37,2025-07-03T07:10:31.380,r,270.78243615,-18.66833889,18.4,0.010,4.439,3.439,168.46,2.63,1.260,271.53
38,2025-07-03T07:11:05.673,r,270.78222737,-18.66833238,18.39,0.010,4.439,3.439,168.46,2.63,1.260,271.53
39,2025-07-03T07:11:55.955,r,270.78190417,-18.66831809,18.4,0.010,4.439,3.439,168.46,2.63,1.260,271.53
40,2025-07-03T07:12:30.249,r,270.78170379,-18.66830862,18.44,0.010,4.439,3.439,168.46,2.63,1.260,271.53
41,2025-07-03T07:13:19.464,r,270.78138618,-18.66829705,18.37,0.010,4.439,3.439,168.46,2.63,1.260,271.53
42,2025-07-03T07:13:53.753,r,270.78116945,-18.66827825,18.35,0.010,4.439,3.439,168.46,2.63,1.260,271.53
43,2025-07-04T06:36:15.986,r,270.26213533,-18.65412757,19.02,0.005,4.407,3.410,167.14,2.94,1.280,271.65
44,2025-07-05T01:23:40.236,y,,,,,4.381,3.387,166.07,3.20,1.295,271.58
45,2025-07-05T01:23:40.236,y,,,,,4.381,3.387,166.07,3.20,1.295,271.58
46,2025-07-05T01:56:38.176,y,,,,,4.380,3.387,166.04,3.21,1.296,271.59
47,2025-07-05T01:56:38.176,y,,,,,4.380,3.387,166.04,3.21,1.296,271.59
48,2025-07-06T23:34:15.015,y,,,,,4.317,3.333,163.37,3.87,1.328,271.81
49,2025-07-06T23:53:08.910,y,,,,,4.316,3.333,163.35,3.87,1.329,271.81
50,2025-07-07T00:12:48.852,y,,,,,4.316,3.332,163.33,3.88,1.330,271.82
51,2025-07-07T00:44:03.262,y,,,,,4.315,3.332,163.30,3.88,1.332,271.83
